frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.28,-10.49,-5.28,-10.49,6.00,5.94,2.73,0.72,0.72,5.21
20.20,-5.21,-10.44,-5.20,-10.44,6.00,5.99,2.81,0.79,0.80,5.24
20.40,-5.12,-10.39,-5.12,-10.39,6.00,6.05,2.88,0.88,0.88,5.27
20.61,-5.03,-10.32,-5.04,-10.33,6.00,6.06,2.97,0.97,0.96,5.29
20.81,-4.95,-10.27,-4.95,-10.27,6.00,6.08,3.05,1.05,1.05,5.32
21.02,-4.87,-10.22,-4.87,-10.21,6.00,6.07,3.14,1.13,1.13,5.35
21.23,-4.78,-10.14,-4.78,-10.14,6.00,6.05,3.23,1.22,1.22,5.36
21.44,-4.68,-10.05,-4.68,-10.06,6.00,6.02,3.32,1.32,1.32,5.37
21.66,-4.59,-9.97,-4.59,-9.96,6.00,5.98,3.42,1.41,1.41,5.38
21.87,-4.49,-9.87,-4.49,-9.87,6.00,5.94,3.52,1.51,1.51,5.38
22.09,-4.39,-9.78,-4.39,-9.78,6.00,5.91,3.62,1.61,1.61,5.39
22.31,-4.29,-9.67,-4.29,-9.68,6.00,5.87,3.72,1.71,1.71,5.39
22.54,-4.19,-9.58,-4.19,-9.58,6.00,5.84,3.83,1.81,1.81,5.39
22.76,-4.09,-9.48,-4.09,-9.47,6.00,5.81,3.94,1.91,1.91,5.39
22.99,-3.99,-9.36,-3.99,-9.37,6.00,5.79,4.05,2.01,2.01,5.38
23.22,-3.89,-9.27,-3.89,-9.27,6.00,5.77,4.16,2.11,2.11,5.38
23.45,-3.80,-9.18,-3.80,-9.18,6.00,5.76,4.28,2.20,2.20,5.38
23.69,-3.72,-9.10,-3.72,-9.10,6.00,5.75,4.40,2.28,2.28,5.38
23.92,-3.63,-9.01,-3.63,-9.01,6.00,5.75,4.52,2.37,2.37,5.38
24.16,-3.54,-8.92,-3.54,-8.92,6.00,5.76,4.65,2.46,2.46,5.38
24.40,-3.45,-8.83,-3.45,-8.82,6.00,5.76,4.77,2.55,2.55,5.38
