frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-8.93,-14.08,-8.92,-14.07,6.00,5.94,2.91,-2.93,-2.92,5.15
20.20,-8.81,-13.99,-8.81,-13.99,6.00,5.94,3.00,-2.81,-2.81,5.18
20.40,-8.69,-13.90,-8.69,-13.90,6.00,5.93,3.08,-2.69,-2.69,5.21
20.61,-8.57,-13.80,-8.57,-13.80,6.00,5.92,3.17,-2.57,-2.57,5.23
20.81,-8.44,-13.71,-8.45,-13.71,6.00,5.92,3.26,-2.44,-2.45,5.26
21.02,-8.33,-13.62,-8.32,-13.61,6.00,5.91,3.35,-2.33,-2.32,5.29
21.23,-8.20,-13.50,-8.20,-13.50,6.00,5.91,3.45,-2.20,-2.20,5.30
21.44,-8.07,-13.39,-8.07,-13.38,6.00,5.90,3.55,-2.07,-2.07,5.31
21.66,-7.95,-13.27,-7.95,-13.26,6.00,5.90,3.65,-1.95,-1.95,5.32
21.87,-7.81,-13.13,-7.82,-13.14,6.00,5.89,3.75,-1.81,-1.82,5.32
22.09,-7.69,-13.03,-7.69,-13.02,6.00,5.89,3.86,-1.69,-1.69,5.33
22.31,-7.56,-12.89,-7.56,-12.90,6.00,5.89,3.97,-1.56,-1.56,5.33
22.54,-7.44,-12.77,-7.44,-12.77,6.00,5.89,4.08,-1.44,-1.44,5.33
22.76,-7.31,-12.64,-7.31,-12.63,6.00,5.88,4.20,-1.31,-1.31,5.33
22.99,-7.18,-12.50,-7.18,-12.50,6.00,5.88,4.31,-1.18,-1.18,5.32
23.22,-7.05,-12.37,-7.05,-12.37,6.00,5.88,4.44,-1.05,-1.05,5.32
23.45,-6.93,-12.25,-6.93,-12.25,6.00,5.88,4.56,-0.93,-0.93,5.32
23.69,-6.81,-12.13,-6.81,-12.13,6.00,5.88,4.69,-0.81,-0.81,5.32
23.92,-6.68,-12.01,-6.68,-12.00,6.00,5.88,4.82,-0.68,-0.68,5.32
24.16,-6.56,-11.88,-6.56,-11.88,6.00,5.89,4.95,-0.56,-0.56,5.32
24.40,-6.42,-11.74,-6.43,-11.74,6.00,5.89,5.08,-0.42,-0.43,5.32
24.65,-6.30,-11.61,-6.30,-11.61,6.00,5.89,5.22,-0.30,-0.30,5.31
24.89,-6.17,-11.48,-6.17,-11.48,6.00,5.89,5.36,-0.17,-0.17,5.31
25.14,-6.04,-11.36,-6.05,-11.36,6.00,5.90,5.50,-0.04,-0.05,5.31
25.39,-5.92,-11.23,-5.93,-11.24,6.00,5.90,5.64,0.08,0.07,5.31
25.65,-5.81,-11.12,-5.80,-11.11,6.00,5.91,5.78,0.19,0.20,5.31
25.91,-5.68,-10.98,-5.68,-10.98,6.00,5.92,5.92,0.32,0.32,5.30
26.16,-5.55,-10.85,-5.56,-10.86,6.00,5.92,6.06,0.45,0.44,5.30
26.43,-5.43,-10.73,-5.43,-10.73,6.00,5.93,6.20,0.57,0.57,5.30
26.69,-5.31,-10.61,-5.31,-10.61,6.00,5.94,6.34,0.69,0.69,5.30
26.96,-5.18,-10.48,-5.18,-10.48,6.00,5.95,6.48,0.82,0.82,5.30
27.23,-5.05,-10.34,-5.04,-10.34,6.00,5.96,6.62,0.95,0.96,5.29
27.50,-4.91,-10.20,-4.91,-10.20,6.00,5.97,6.75,1.09,1.09,5.29
27.77,-4.77,-10.05,-4.78,-10.06,6.00,5.98,6.87,1.23,1.22,5.28
28.05,-4.65,-9.93,-4.65,-9.92,6.00,6.00,7.00,1.35,1.35,5.28
28.33,-4.53,-9.80,-4.52,-9.79,6.00,6.01,7.11,1.47,1.48,5.27
28.62,-4.40,-9.67,-4.40,-9.67,6.00,6.02,7.22,1.60,1.60,5.27
28.90,-4.28,-9.55,-4.29,-9.55,6.00,6.04,7.32,1.72,1.71,5.27
29.19,-4.20,-9.46,-4.20,-9.46,6.00,6.05,7.42,1.80,1.80,5.26
29.48,-4.13,-9.39,-4.13,-9.39,6.00,6.06,7.49,1.87,1.87,5.26
29.78,-4.06,-9.31,-4.05,-9.30,6.00,6.08,7.57,1.94,1.95,5.25
30.08,-3.96,-9.21,-3.94,-9.18,6.00,6.09,7.62,2.04,2.06,5.25
30.38,-3.78,-9.02,-3.78,-9.02,6.00,6.10,7.67,2.22,2.22,5.24
30.68,-3.59,-8.83,-3.60,-8.84,6.00,6.11,7.70,2.41,2.40,5.24
30.99,-3.41,-8.64,-3.41,-8.64,6.00,6.13,7.72,2.59,2.59,5.23
31.30,-3.23,-8.45,-3.21,-8.44,6.00,6.14,7.72,2.77,2.79,5.22
31.61,-3.04,-8.26,-3.03,-8.25,6.00,6.14,7.72,2.96,2.97,5.22
31.93,-2.86,-8.07,-2.89,-8.10,6.00,6.15,7.69,3.14,3.11,5.21
32.24,-2.79,-7.99,-2.79,-8.00,6.00,6.16,7.66,3.21,3.21,5.20
32.57,-2.75,-7.95,-2.74,-7.94,6.00,6.16,7.61,3.25,3.26,5.20
32.89,-2.71,-7.90,-2.69,-7.88,6.00,6.16,7.55,3.29,3.31,5.19
33.22,-2.62,-7.80,-2.60,-7.79,6.00,6.16,7.47,3.38,3.40,5.18
33.55,-2.48,-7.67,-2.49,-7.67,6.00,6.16,7.39,3.52,3.51,5.18
33.89,-2.37,-7.54,-2.38,-7.55,6.00,6.15,7.30,3.63,3.62,5.17
34.23,-2.31,-7.47,-2.32,-7.49,6.00,6.14,7.20,3.69,3.68,5.16
34.57,-2.28,-7.43,-2.28,-7.43,6.00,6.12,7.08,3.72,3.72,5.15
34.92,-2.26,-7.40,-2.22,-7.36,6.00,6.10,6.97,3.74,3.78,5.14
35.27,-2.10,-7.23,-2.09,-7.22,6.00,6.08,6.84,3.90,3.91,5.13
35.62,-1.91,-7.03,-1.92,-7.04,6.00,6.05,6.72,4.09,4.08,5.12
35.97,-1.70,-6.81,-1.73,-6.84,6.00,6.02,6.58,4.30,4.28,5.11
36.33,-1.56,-6.67,-1.55,-6.65,6.01,5.98,6.45,4.45,4.46,5.10
36.70,-1.42,-6.51,-1.41,-6.50,6.03,5.94,6.31,4.61,4.61,5.09
37.06,-1.29,-6.37,-1.31,-6.39,6.03,5.89,6.17,4.74,4.71,5.08
37.43,-1.24,-6.31,-1.24,-6.31,6.01,5.84,6.03,4.78,4.78,5.07
37.81,-1.19,-6.25,-1.17,-6.23,5.98,5.79,5.89,4.79,4.81,5.06
38.19,-1.09,-6.14,-1.07,-6.12,5.93,5.72,5.75,4.84,4.86,5.05
38.57,-0.93,-5.97,-0.93,-5.97,5.86,5.66,5.61,4.94,4.93,5.04
38.95,-0.76,-5.79,-0.78,-5.80,5.79,5.59,5.47,5.02,5.01,5.03
39.34,-0.63,-5.65,-0.63,-5.64,5.70,5.51,5.33,5.07,5.07,5.01
39.74,-0.52,-5.52,-0.52,-5.52,5.60,5.44,5.19,5.09,5.09,5.00
