frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.30,-4.50,0.30,-4.50,4.50,3.58,1.41,4.80,4.80,4.80
20.20,0.36,-4.47,0.37,-4.47,4.47,3.57,1.45,4.83,4.83,4.83
20.40,0.43,-4.43,0.43,-4.43,4.43,3.57,1.50,4.87,4.86,4.86
20.61,0.49,-4.39,0.49,-4.39,4.39,3.56,1.54,4.89,4.89,4.88
20.81,0.55,-4.36,0.56,-4.36,4.35,3.56,1.59,4.91,4.91,4.91
21.02,0.62,-4.32,0.62,-4.32,4.31,3.55,1.64,4.94,4.93,4.94
21.23,0.68,-4.27,0.68,-4.27,4.27,3.54,1.69,4.95,4.95,4.95
21.44,0.74,-4.22,0.75,-4.22,4.22,3.54,1.74,4.96,4.97,4.96
21.66,0.80,-4.17,0.80,-4.17,4.17,3.53,1.79,4.97,4.97,4.97
21.87,0.86,-4.11,0.86,-4.12,4.12,3.52,1.85,4.98,4.98,4.97
22.09,0.91,-4.07,0.92,-4.06,4.06,3.51,1.90,4.97,4.98,4.98
22.31,0.97,-4.01,0.97,-4.01,4.00,3.51,1.96,4.98,4.98,4.98
22.54,1.03,-3.95,1.03,-3.95,3.94,3.50,2.02,4.98,4.98,4.98
22.76,1.09,-3.89,1.09,-3.89,3.89,3.49,2.08,4.98,4.98,4.98
22.99,1.15,-3.82,1.15,-3.82,3.83,3.48,2.14,4.98,4.98,4.97
23.22,1.20,-3.77,1.21,-3.77,3.77,3.48,2.21,4.98,4.98,4.97
23.45,1.26,-3.71,1.26,-3.71,3.72,3.47,2.27,4.98,4.98,4.97
23.69,1.31,-3.66,1.31,-3.66,3.66,3.46,2.34,4.97,4.97,4.97
23.92,1.36,-3.61,1.37,-3.61,3.61,3.45,2.40,4.97,4.97,4.97
24.16,1.41,-3.56,1.41,-3.56,3.55,3.44,2.47,4.97,4.97,4.97
24.40,1.46,-3.51,1.46,-3.50,3.50,3.43,2.54,4.97,4.97,4.97
24.65,1.51,-3.45,1.51,-3.45,3.45,3.42,2.61,4.96,4.96,4.96
24.89,1.56,-3.40,1.57,-3.40,3.40,3.41,2.68,4.96,4.96,4.96
25.14,1.61,-3.35,1.61,-3.35,3.35,3.40,2.75,4.96,4.96,4.96
25.39,1.66,-3.30,1.66,-3.30,3.30,3.40,2.83,4.96,4.96,4.96
25.65,1.70,-3.26,1.71,-3.25,3.25,3.38,2.90,4.96,4.96,4.96
25.91,1.75,-3.20,1.75,-3.20,3.21,3.37,2.97,4.96,4.96,4.95
26.16,1.80,-3.15,1.80,-3.16,3.16,3.36,3.04,4.96,4.96,4.95
